WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation absol. [l/m²] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 precipitation diff. [l/m²] Act;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 sum of particles [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 hail flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 sum of snow-flakes [] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act
2017-06-13 00:00:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9900;    0;0.0000;    0
2017-06-13 00:01:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9100;    0;0.0000;    0
2017-06-13 00:02:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9900;    0;0.0000;    0
2017-06-13 00:03:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9900;    0;0.0000;    0
2017-06-13 00:04:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9900;    0;0.0000;    0
2017-06-13 00:05:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9900;    0;0.0000;    0
2017-06-13 00:06:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9100;    0;0.0000;    0
2017-06-13 00:07:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9100;    0;0.0000;    0
2017-06-13 00:08:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9100;    0;0.0000;    0
2017-06-13 00:09:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9100;    0;0.0000;    0
2017-06-13 00:10:10;61.3500;    0;0.0000;0.0000;61.3500;    0;    0;    0;    0;    0;    0;    0;    0;16.9900;    0;0.0000;    0
